iter	Passed	Remaining
0	6	6432
1	11	5743
2	17	5806
3	22	5521
4	25	5144
5	29	4898
6	33	4738
7	37	4609
8	41	4569
9	45	4495
10	49	4463
11	54	4471
12	58	4439
13	62	4399
14	66	4390
15	72	4442
16	75	4384
17	79	4312
18	82	4264
19	87	4274
20	90	4227
21	94	4190
22	97	4141
23	101	4124
24	104	4083
25	107	4043
26	111	4019
27	115	4024
28	119	4001
29	122	3969
30	126	3940
31	130	3960
32	134	3955
33	139	3972
34	143	3953
35	147	3950
36	151	3944
37	155	3924
38	158	3895
39	162	3892
40	166	3884
41	169	3862
42	172	3841
43	176	3830
44	180	3836
45	185	3845
46	189	3837
47	193	3835
48	197	3835
49	200	3814
50	203	3794
51	207	3775
52	212	3789
53	215	3769
54	218	3754
55	221	3733
56	224	3722
57	229	3726
58	234	3732
59	239	3756
60	244	3761
61	248	3764
62	252	3756
63	257	3759
64	261	3761
65	265	3754
66	268	3742
67	274	3755
68	277	3745
69	281	3734
70	284	3724
71	288	3712
72	292	3711
73	296	3707
74	301	3713
75	304	3706
76	308	3703
77	313	3709
78	317	3700
79	321	3698
80	325	3695
81	329	3691
82	334	3697
83	339	3701
84	343	3701
85	347	3698
86	351	3693
87	356	3693
88	361	3697
89	364	3687
90	369	3687
91	373	3682
92	376	3676
93	381	3678
94	386	3678
95	389	3671
96	393	3663
97	396	3652
98	400	3645
99	405	3650
100	410	3649
101	413	3643
102	418	3640
103	422	3638
104	426	3632
105	429	3626
106	434	3623
107	438	3621
108	441	3612
109	445	3602
110	449	3601
111	453	3592
112	456	3584
113	459	3572
114	463	3564
115	466	3554
116	469	3544
117	472	3535
118	476	3527
119	480	3520
120	483	3511
121	486	3502
122	489	3493
123	493	3484
124	497	3480
125	500	3471
126	503	3462
127	507	3455
128	510	3449
129	514	3439
130	517	3429
131	520	3421
132	523	3412
133	526	3404
134	538	3447
135	551	3501
136	562	3542
137	573	3580
138	589	3649
139	594	3649
140	598	3644
141	603	3645
142	615	3688
143	619	3683
144	623	3675
145	626	3667
146	631	3664
147	636	3663
148	639	3652
149	643	3648
150	648	3646
151	652	3638
152	655	3630
153	660	3626
154	664	3621
155	667	3611
156	671	3605
157	676	3603
158	679	3594
159	683	3587
160	686	3577
161	691	3575
162	694	3568
163	698	3560
164	702	3556
165	707	3553
166	712	3552
167	715	3544
168	719	3539
169	724	3535
170	728	3530
171	732	3524
172	735	3517
173	740	3513
174	744	3507
175	747	3501
176	751	3494
177	755	3487
178	758	3478
179	761	3469
180	764	3461
181	777	3496
182	781	3487
183	784	3479
184	787	3471
185	791	3462
186	794	3453
187	797	3444
188	801	3438
189	804	3430
190	808	3422
191	811	3413
192	814	3404
193	818	3398
194	821	3392
195	824	3383
196	828	3375
197	831	3368
198	835	3363
199	840	3362
200	843	3354
201	847	3349
202	851	3344
203	856	3340
204	859	3333
205	862	3325
206	867	3321
